step,loss
100,4.4125
200,4.7018
300,3.9009
400,4.0636
500,4.5358
600,4.4489
700,3.8855
800,3.7294
900,3.2273
1000,3.1434
1100,3.5431
1200,4.0309
1300,7.477
1400,5.1097
1500,5.2936
1600,3.2851
1700,2.8502
1800,2.5496
1900,2.9982
2000,2.5482
2100,3.5402
2200,3.2162
2300,2.4504
2400,2.3305
2500,2.3835
2600,3.0496
2700,2.4055
2800,2.5632
2900,2.6932
3000,2.2855
3100,2.2352
3200,2.4224
3300,6.3192
3400,3.9246
3500,3.9808
3600,4.6234
3700,4.0779
3800,3.588
3900,3.6571
4000,4.0192
4100,3.4762
4200,3.3661
4300,3.2438
4400,2.9556
4500,2.7345
4600,2.5487
4700,2.391
4800,2.2594
4900,2.2096
5000,2.2164
5100,2.2045
5200,2.1589
5300,2.1316
5400,2.1183
5500,2.155
5600,2.1311
5700,2.1153
5800,2.2339
5900,2.1443
6000,3.1531
6100,11.0297
6200,14.829
6300,10.557
6400,3.6165
6500,3.2321
6600,2.9466
6700,2.7296
6800,2.5912
6900,2.4456
7000,2.4101
7100,2.4255
7200,2.3818
7300,2.3824
7400,2.3697
7500,2.296
7600,2.268
7700,2.236
7800,5.5028
7900,7.3207
8000,4.8983
8100,5.5753
8200,3.5833
8300,3.4438
8400,3.0762
8500,2.4907
8600,2.3643
8700,2.322
8800,2.3086
8900,2.2671
9000,2.2309
9100,2.2206
9200,2.2357
9300,2.2168
9400,2.1933
9500,2.2113
9600,2.1985
9700,2.2172
9800,2.1734
9900,2.1664
10000,2.168
10100,2.1647
10200,2.1477
10300,2.1743
10400,2.1607
10500,2.1464
10600,2.1579
10700,2.1219
10800,2.1131
10900,2.1162
11000,2.1134
11100,2.1062
11200,2.098
11300,2.0992
11400,2.0941
11500,2.0879
11600,2.077
11700,2.0803
11800,2.0785
11900,2.0729
12000,2.0773
12100,2.0757
12200,2.0672
12300,2.0687
12400,2.0678
12500,2.0694
12600,2.0632
12700,2.0645
12800,2.0619
12900,2.0648
13000,2.0588
13100,2.0601
13200,2.0545
13300,2.0555
13400,2.0534
13500,2.0535
13600,2.0501
13700,2.0531
13800,2.0479
13900,2.0519
14000,2.0449
14100,2.0521
14200,2.0503
